ticker,date,strategy,signal,horizon,entry_price,future_price,markout_pct,bucket,in_sample
GOOGL,2025-12-05,RL-only,BUY,21,320.83,321.75,0.2866,,False
GOOGL,2025-12-08,Hybrid,BUY,1,313.5,316.86,1.071,rl_override,False
GOOGL,2025-12-08,Hybrid,BUY,2,313.5,319.98,2.0687,rl_override,False
GOOGL,2025-12-08,Hybrid,BUY,3,313.5,312.21,-0.4112,rl_override,False
GOOGL,2025-12-08,Hybrid,BUY,5,313.5,308.0,-1.7532,rl_override,False
GOOGL,2025-12-08,Hybrid,BUY,10,313.5,309.56,-1.2559,rl_override,False
GOOGL,2025-12-08,Hybrid,BUY,21,313.5,325.21,3.7358,rl_override,False
GOOGL,2025-12-08,RL-only,BUY,1,313.5,316.86,1.071,,False
GOOGL,2025-12-08,RL-only,BUY,2,313.5,319.98,2.0687,,False
GOOGL,2025-12-08,RL-only,BUY,3,313.5,312.21,-0.4112,,False
GOOGL,2025-12-08,RL-only,BUY,5,313.5,308.0,-1.7532,,False
GOOGL,2025-12-08,RL-only,BUY,10,313.5,309.56,-1.2559,,False
GOOGL,2025-12-08,RL-only,BUY,21,313.5,325.21,3.7358,,False
GOOGL,2025-12-09,Hybrid,BUY,1,316.86,319.98,0.9871,rl_override,False
GOOGL,2025-12-09,Hybrid,BUY,2,316.86,312.21,-1.4665,rl_override,False
GOOGL,2025-12-09,Hybrid,BUY,3,316.86,309.07,-2.4568,rl_override,False
GOOGL,2025-12-09,Hybrid,BUY,5,316.86,306.35,-3.3146,rl_override,False
GOOGL,2025-12-09,Hybrid,BUY,10,316.86,314.13,-0.861,rl_override,False
GOOGL,2025-12-09,Hybrid,BUY,21,316.86,328.34,3.6237,rl_override,False
GOOGL,2025-12-09,RL-only,BUY,1,316.86,319.98,0.9871,,False
GOOGL,2025-12-09,RL-only,BUY,2,316.86,312.21,-1.4665,,False
GOOGL,2025-12-09,RL-only,BUY,3,316.86,309.07,-2.4568,,False
GOOGL,2025-12-09,RL-only,BUY,5,316.86,306.35,-3.3146,,False
GOOGL,2025-12-09,RL-only,BUY,10,316.86,314.13,-0.861,,False
GOOGL,2025-12-09,RL-only,BUY,21,316.86,328.34,3.6237,,False
GOOGL,2025-12-10,Hybrid,BUY,1,319.98,312.21,-2.4297,rl_override,False
GOOGL,2025-12-10,Hybrid,BUY,2,319.98,309.07,-3.4103,rl_override,False
GOOGL,2025-12-10,Hybrid,BUY,3,319.98,308.0,-3.7444,rl_override,False
GOOGL,2025-12-10,Hybrid,BUY,5,319.98,296.51,-7.3358,rl_override,False
GOOGL,2025-12-10,Hybrid,BUY,10,319.98,313.87,-1.9112,rl_override,False
GOOGL,2025-12-10,Hybrid,BUY,21,319.98,331.63,3.6382,rl_override,False
GOOGL,2025-12-10,RL-only,BUY,1,319.98,312.21,-2.4297,,False
GOOGL,2025-12-10,RL-only,BUY,2,319.98,309.07,-3.4103,,False
GOOGL,2025-12-10,RL-only,BUY,3,319.98,308.0,-3.7444,,False
GOOGL,2025-12-10,RL-only,BUY,5,319.98,296.51,-7.3358,,False
GOOGL,2025-12-10,RL-only,BUY,10,319.98,313.87,-1.9112,,False
GOOGL,2025-12-10,RL-only,BUY,21,319.98,331.63,3.6382,,False
GOOGL,2025-12-11,Hybrid,BUY,1,312.21,309.07,-1.005,rl_override,False
GOOGL,2025-12-11,Hybrid,BUY,2,312.21,308.0,-1.3475,rl_override,False
GOOGL,2025-12-11,Hybrid,BUY,3,312.21,306.35,-1.8756,rl_override,False
GOOGL,2025-12-11,Hybrid,BUY,5,312.21,302.25,-3.1911,rl_override,False
GOOGL,2025-12-11,Hybrid,BUY,10,312.21,313.29,0.3457,rl_override,False
GOOGL,2025-12-11,Hybrid,BUY,21,312.21,335.73,7.5345,rl_override,False
GOOGL,2025-12-11,RL-only,BUY,1,312.21,309.07,-1.005,,False
GOOGL,2025-12-11,RL-only,BUY,2,312.21,308.0,-1.3475,,False
GOOGL,2025-12-11,RL-only,BUY,3,312.21,306.35,-1.8756,,False
GOOGL,2025-12-11,RL-only,BUY,5,312.21,302.25,-3.1911,,False
GOOGL,2025-12-11,RL-only,BUY,10,312.21,313.29,0.3457,,False
GOOGL,2025-12-11,RL-only,BUY,21,312.21,335.73,7.5345,,False
GOOGL,2025-12-12,Hybrid,BUY,1,309.07,308.0,-0.346,rl_override,False
GOOGL,2025-12-12,Hybrid,BUY,2,309.07,306.35,-0.8794,rl_override,False
GOOGL,2025-12-12,Hybrid,BUY,3,309.07,296.51,-4.0642,rl_override,False
GOOGL,2025-12-12,Hybrid,BUY,5,309.07,306.94,-0.6887,rl_override,False
GOOGL,2025-12-12,Hybrid,BUY,10,309.07,313.34,1.3806,rl_override,False
GOOGL,2025-12-12,Hybrid,BUY,21,309.07,335.6,8.5842,rl_override,False
GOOGL,2025-12-12,RL-only,BUY,1,309.07,308.0,-0.346,,False
GOOGL,2025-12-12,RL-only,BUY,2,309.07,306.35,-0.8794,,False
GOOGL,2025-12-12,RL-only,BUY,3,309.07,296.51,-4.0642,,False
GOOGL,2025-12-12,RL-only,BUY,5,309.07,306.94,-0.6887,,False
GOOGL,2025-12-12,RL-only,BUY,10,309.07,313.34,1.3806,,False
GOOGL,2025-12-12,RL-only,BUY,21,309.07,335.6,8.5842,,False
GOOGL,2025-12-15,Hybrid,BUY,1,308.0,306.35,-0.5353,rl_override,False
GOOGL,2025-12-15,Hybrid,BUY,2,308.0,296.51,-3.7311,rl_override,False
GOOGL,2025-12-15,Hybrid,BUY,3,308.0,302.25,-1.8688,rl_override,False
GOOGL,2025-12-15,Hybrid,BUY,5,308.0,309.56,0.5061,rl_override,False
GOOGL,2025-12-15,Hybrid,BUY,10,308.0,313.63,1.8266,rl_override,False
GOOGL,2025-12-15,Hybrid,BUY,21,308.0,332.55,7.9683,rl_override,False
GOOGL,2025-12-15,RL-only,BUY,1,308.0,306.35,-0.5353,,False
GOOGL,2025-12-15,RL-only,BUY,2,308.0,296.51,-3.7311,,False
GOOGL,2025-12-15,RL-only,BUY,3,308.0,302.25,-1.8688,,False
GOOGL,2025-12-15,RL-only,BUY,5,308.0,309.56,0.5061,,False
GOOGL,2025-12-15,RL-only,BUY,10,308.0,313.63,1.8266,,False
GOOGL,2025-12-15,RL-only,BUY,21,308.0,332.55,7.9683,,False
GOOGL,2025-12-16,Hybrid,BUY,1,306.35,296.51,-3.213,rl_override,False
GOOGL,2025-12-16,Hybrid,BUY,2,306.35,302.25,-1.3406,rl_override,False
GOOGL,2025-12-16,Hybrid,BUY,3,306.35,306.94,0.1925,rl_override,False
GOOGL,2025-12-16,Hybrid,BUY,5,306.35,314.13,2.5378,rl_override,False
GOOGL,2025-12-16,Hybrid,BUY,10,306.35,312.78,2.0974,rl_override,False
GOOGL,2025-12-16,Hybrid,BUY,21,306.35,329.77,7.6426,rl_override,False
GOOGL,2025-12-16,RL-only,BUY,1,306.35,296.51,-3.213,,False
GOOGL,2025-12-16,RL-only,BUY,2,306.35,302.25,-1.3406,,False
GOOGL,2025-12-16,RL-only,BUY,3,306.35,306.94,0.1925,,False
GOOGL,2025-12-16,RL-only,BUY,5,306.35,314.13,2.5378,,False
GOOGL,2025-12-16,RL-only,BUY,10,306.35,312.78,2.0974,,False
GOOGL,2025-12-16,RL-only,BUY,21,306.35,329.77,7.6426,,False
GOOGL,2025-12-17,Hybrid,BUY,1,296.51,302.25,1.9345,rl_override,False
GOOGL,2025-12-17,Hybrid,BUY,2,296.51,306.94,3.5185,rl_override,False
GOOGL,2025-12-17,Hybrid,BUY,3,296.51,309.56,4.4015,rl_override,False
GOOGL,2025-12-17,Hybrid,BUY,5,296.51,313.87,5.854,rl_override,False
GOOGL,2025-12-17,Hybrid,BUY,10,296.51,314.93,6.2112,rl_override,False
GOOGL,2025-12-17,Hybrid,BUY,21,296.51,321.77,8.5198,rl_override,False
GOOGL,2025-12-17,RL-only,BUY,1,296.51,302.25,1.9345,,False
GOOGL,2025-12-17,RL-only,BUY,2,296.51,306.94,3.5185,,False
GOOGL,2025-12-17,RL-only,BUY,3,296.51,309.56,4.4015,,False
GOOGL,2025-12-17,RL-only,BUY,5,296.51,313.87,5.854,,False
GOOGL,2025-12-17,RL-only,BUY,10,296.51,314.93,6.2112,,False
GOOGL,2025-12-17,RL-only,BUY,21,296.51,321.77,8.5198,,False
