ticker,date,cross_type,entry_price,exit_price,hold_days,price_change_pct,crossover_correct,rule_signal,rule_correct,atv_confirmed,rsi_gate,hybrid_signal,hybrid_correct,confidence,rl_agrees
AAPL,2026-03-18,death_cross,249.94,252.62,5,1.07,False,HOLD,,False,n/a,HOLD,,55,False
AAPL,2026-03-18,death_cross,249.94,255.63,10,2.28,False,HOLD,,False,n/a,HOLD,,55,False
MSFT,2021-06-23,golden_cross,255.13,260.54,5,2.12,True,HOLD,,True,blocked_overbought,HOLD,,70,True
MSFT,2021-06-23,golden_cross,255.13,266.82,10,4.58,True,HOLD,,True,blocked_overbought,HOLD,,70,True
MSFT,2021-06-23,golden_cross,255.13,275.2,20,7.87,True,HOLD,,True,blocked_overbought,HOLD,,70,True
MSFT,2021-10-06,death_cross,282.45,285.53,5,1.09,False,SELL,False,True,passed,SELL,False,60,False
MSFT,2021-10-06,death_cross,282.45,296.23,10,4.88,False,SELL,False,True,passed,SELL,False,60,False
MSFT,2021-10-06,death_cross,282.45,321.85,20,13.95,False,SELL,False,True,passed,SELL,False,60,False
MSFT,2021-10-27,golden_cross,311.41,321.85,5,3.35,True,HOLD,,False,n/a,HOLD,,70,True
MSFT,2021-10-27,golden_cross,311.41,318.76,10,2.36,True,HOLD,,False,n/a,HOLD,,70,True
MSFT,2021-10-27,golden_cross,311.41,326.21,20,4.75,True,HOLD,,False,n/a,HOLD,,70,True
MSFT,2022-01-06,death_cross,303.01,294.25,5,-2.89,True,HOLD,,False,n/a,HOLD,,70,True
MSFT,2022-01-06,death_cross,303.01,285.78,10,-5.69,True,HOLD,,False,n/a,HOLD,,70,True
MSFT,2022-01-06,death_cross,303.01,295.35,20,-2.53,True,HOLD,,False,n/a,HOLD,,70,True
MSFT,2022-04-04,golden_cross,304.69,275.95,5,-9.43,False,HOLD,,False,n/a,HOLD,,70,True
MSFT,2022-04-04,golden_cross,304.69,275.99,10,-9.42,False,HOLD,,False,n/a,HOLD,,70,True
MSFT,2022-04-04,golden_cross,304.69,272.59,20,-10.54,False,HOLD,,False,n/a,HOLD,,70,True
MSFT,2022-04-26,death_cross,261.4,272.59,5,4.28,False,HOLD,,False,n/a,HOLD,,55,False
MSFT,2022-04-26,death_cross,261.4,260.71,10,-0.27,True,HOLD,,False,n/a,HOLD,,55,False
MSFT,2022-04-26,death_cross,261.4,251.74,20,-3.7,True,HOLD,,False,n/a,HOLD,,55,False
MSFT,2022-07-21,golden_cross,256.8,268.02,5,4.37,True,HOLD,,False,n/a,HOLD,,70,True
MSFT,2022-07-21,golden_cross,256.8,275.04,10,7.1,True,HOLD,,False,n/a,HOLD,,70,True
MSFT,2022-07-21,golden_cross,256.8,281.95,20,9.8,True,HOLD,,False,n/a,HOLD,,70,True
MSFT,2022-07-26,death_cross,244.25,266.47,5,9.1,False,HOLD,,False,n/a,HOLD,,70,True
