ticker,date,strategy,signal,horizon,entry_price,future_price,markout_pct,timesteps
AAPL,2025-10-16,Hybrid,BUY,3,246.98,262.27,6.1911,100000
AAPL,2025-10-16,Hybrid,BUY,5,246.98,259.09,4.902,100000
AAPL,2025-10-16,Hybrid,BUY,10,246.98,270.88,9.6787,100000
AAPL,2025-10-16,Hybrid,BUY,21,246.98,272.16,10.1936,100000
AAPL,2025-10-16,RL,BUY,1,246.98,251.81,1.9559,100000
AAPL,2025-10-16,RL,BUY,2,246.98,261.74,5.977,100000
AAPL,2025-10-16,RL,BUY,3,246.98,262.27,6.1911,100000
AAPL,2025-10-16,RL,BUY,5,246.98,259.09,4.902,100000
AAPL,2025-10-16,RL,BUY,10,246.98,270.88,9.6787,100000
AAPL,2025-10-16,RL,BUY,21,246.98,272.16,10.1936,100000
AAPL,2025-10-17,Hybrid,BUY,1,251.81,261.74,3.9439,100000
AAPL,2025-10-17,Hybrid,BUY,2,251.81,262.27,4.1539,100000
AAPL,2025-10-17,Hybrid,BUY,3,251.81,257.96,2.4416,100000
AAPL,2025-10-17,Hybrid,BUY,5,251.81,262.32,4.1738,100000
AAPL,2025-10-17,Hybrid,BUY,10,251.81,269.86,7.1664,100000
AAPL,2025-10-17,Hybrid,BUY,21,251.81,267.21,6.1157,100000
AAPL,2025-10-17,RL,BUY,1,251.81,261.74,3.9439,100000
AAPL,2025-10-17,RL,BUY,2,251.81,262.27,4.1539,100000
AAPL,2025-10-17,RL,BUY,3,251.81,257.96,2.4416,100000
AAPL,2025-10-17,RL,BUY,5,251.81,262.32,4.1738,100000
AAPL,2025-10-17,RL,BUY,10,251.81,269.86,7.1664,100000
AAPL,2025-10-17,RL,BUY,21,251.81,267.21,6.1157,100000
AAPL,2025-10-20,Hybrid,BUY,1,261.74,262.27,0.2021,100000
AAPL,2025-10-20,Hybrid,BUY,2,261.74,257.96,-1.4452,100000
AAPL,2025-10-20,Hybrid,BUY,3,261.74,259.09,-1.0143,100000
AAPL,2025-10-20,Hybrid,BUY,5,261.74,268.3,2.5053,100000
AAPL,2025-10-20,Hybrid,BUY,10,261.74,268.54,2.5969,100000
AAPL,2025-10-20,Hybrid,BUY,21,261.74,267.19,2.0818,100000
AAPL,2025-10-20,RL,BUY,1,261.74,262.27,0.2021,100000
AAPL,2025-10-20,RL,BUY,2,261.74,257.96,-1.4452,100000
AAPL,2025-10-20,RL,BUY,3,261.74,259.09,-1.0143,100000
AAPL,2025-10-20,RL,BUY,5,261.74,268.3,2.5053,100000
AAPL,2025-10-20,RL,BUY,10,261.74,268.54,2.5969,100000
AAPL,2025-10-20,RL,BUY,21,261.74,267.19,2.0818,100000
